ISO,scenario,d
MWI,1,402.0
MYS,1,4392.0
MDV,1,16.0
MLI,1,168.0
MLT,1,100.0
MRT,1,43.0
MUS,1,166.0
MEX,1,3905.0
MNG,1,31.0
MNE,1,125.0
MAR,1,706.0
MOZ,1,496.0
MMR,1,954.0
NAM,1,64.0
NPL,1,333.0
NZL,1,962.0
NIC,1,188.0
NER,1,279.0
NGA,1,5337.0
MKD,1,65.0
NOR,1,1215.0
OMN,1,832.0
PAK,1,5157.0
PAN,1,119.0
PNG,1,276.0
PRY,1,276.0
PER,1,1162.0
PHL,1,2479.0
POL,1,5553.0
PRT,1,2206.0
QAT,1,316.0
MDA,1,121.0
ROU,1,2453.0
RUS,1,5131.0
RWA,1,240.0
LCA,1,5.0
WSM,1,8.0
STP,1,1.0
SAU,1,1131.0
SEN,1,168.0
SRB,1,386.0
SLE,1,90.0
SGP,1,1537.0
SVK,1,1016.0
SVN,1,497.0
SLB,1,13.0
SOM,1,394.0
ZAF,1,1631.0
SSD,1,163.0
ESP,1,8772.0
LKA,1,511.0
SDN,1,750.0
SUR,1,17.0
SWE,1,1910.0
CHE,1,1884.0
SYR,1,750.0
TJK,1,115.0
TZA,1,886.0
THA,1,1842.0
NLD,1,3778.0
GMB,1,18.0
TLS,1,23.0
TGO,1,161.0
TTO,1,50.0
TUN,1,400.0
TUR,1,12839.0
TKM,1,101.0
UGA,1,917.0
UKR,1,1578.0
ARE,1,1130.0
GBR,1,16773.0
URY,1,153.0
UZB,1,554.0
VUT,1,5.0
VEN,1,770.0
VNM,1,2269.0
YEM,1,483.0
ZMB,1,275.0
ZWE,1,387.0
USA,2,86854.0
AFG,2,440.0
ALB,2,65.0
DZA,2,1114.0
AGO,2,578.0
ARG,2,1539.0
ARM,2,60.0
AUS,2,7088.0
AUT,2,1422.0
AZE,2,220.0
BHS,2,50.0
BHR,2,261.0
BGD,2,1781.0
BRB,2,39.0
BLR,2,403.0
BEL,2,2760.0
BLZ,2,6.0
BEN,2,200.0
BTN,2,8.0
BOL,2,205.0
BIH,2,63.0
BWA,2,39.0
BRA,2,7187.0
BRN,2,85.0
BGR,2,715.0
BFA,2,235.0
BDI,2,210.0
CPV,2,16.0
KHM,2,385.0
CMR,2,607.0
CAN,2,10483.0
CAF,2,96.0
TCD,2,379.0
CHL,2,644.0
CHN,2,39587.0
COL,2,1996.0
COM,2,13.0
COD,2,1060.0
COG,2,234.0
CRI,2,210.0
CIV,2,345.0
HRV,2,669.0
CUB,2,403.0
CYP,2,260.0
CZE,2,1997.0
DNK,2,1380.0
DJI,2,19.0
DOM,2,224.0
ECU,2,698.0
EGY,2,4067.0
SLV,2,134.0
GNQ,2,24.0
ERI,2,91.0
EST,2,239.0
SWZ,2,11.0
ETH,2,2809.0
FJI,2,28.0
FIN,2,1135.0
FRA,2,15006.0
GUF,2,12.0
PYF,2,45.0
GAB,2,37.0
GEO,2,452.0
DEU,2,18267.0
GHA,2,573.0
GRC,2,2272.0
GUM,2,13.0
GTM,2,415.0
GIN,2,132.0
GNB,2,22.0
GUY,2,13.0
HTI,2,191.0
HND,2,356.0
HUN,2,1782.0
ISL,2,59.0
IND,2,22418.0
IDN,2,8010.0
IRN,2,2194.0
IRQ,2,1775.0
IRL,2,1167.0
ISR,2,2491.0
ITA,2,15100.0
JAM,2,86.0
JPN,2,20649.0
JOR,2,421.0
KAZ,2,1402.0
KEN,2,1476.0
PRK,2,482.0
KOR,2,5734.0
KWT,2,635.0
KGZ,2,64.0
LAO,2,203.0
LVA,2,351.0
LBN,2,223.0
LSO,2,12.0
LBR,2,74.0
LBY,2,183.0
LTU,2,578.0
LUX,2,133.0
MDG,2,681.0
MWI,2,321.0
MYS,2,4276.0
MDV,2,15.0
MLI,2,229.0
MLT,2,88.0
MRT,2,61.0
MUS,2,157.0
MEX,2,3379.0
MNG,2,35.0
MNE,2,149.0
MAR,2,965.0
MOZ,2,597.0
MMR,2,833.0
NAM,2,63.0
NPL,2,331.0
NZL,2,1129.0
NIC,2,163.0
NER,2,226.0
NGA,2,4075.0
MKD,2,53.0
NOR,2,1087.0
OMN,2,807.0
PAK,2,6400.0
PAN,2,130.0
PNG,2,221.0
PRY,2,191.0
PER,2,1373.0
PHL,2,2061.0
POL,2,5062.0
PRT,2,2157.0
QAT,2,312.0
MDA,2,128.0
ROU,2,2379.0
RUS,2,4609.0
RWA,2,194.0
LCA,2,5.0
WSM,2,6.0
STP,2,1.0
SAU,2,1265.0
SEN,2,197.0
SRB,2,295.0
SLE,2,99.0
SGP,2,1033.0
SVK,2,897.0
SVN,2,471.0
SLB,2,9.0
SOM,2,419.0
ZAF,2,1874.0
SSD,2,159.0
ESP,2,9718.0
LKA,2,514.0
SDN,2,1084.0
SUR,2,15.0
SWE,2,2046.0
CHE,2,1405.0
SYR,2,556.0
TJK,2,104.0
TZA,2,828.0
THA,2,2443.0
NLD,2,4066.0
GMB,2,19.0
TLS,2,26.0
TGO,2,170.0
TTO,2,54.0
TUN,2,236.0
TUR,2,15784.0
TKM,2,72.0
UGA,2,1359.0
UKR,2,1580.0
ARE,2,1220.0
GBR,2,16321.0
URY,2,146.0
UZB,2,393.0
VUT,2,6.0
VEN,2,751.0
VNM,2,2524.0
YEM,2,809.0
ZMB,2,261.0
ZWE,2,458.0
USA,3,101544.0
AFG,3,528.0
ALB,3,70.0
DZA,3,1071.0
AGO,3,575.0
ARG,3,1295.0
ARM,3,65.0
AUS,3,8295.0
AUT,3,1789.0
AZE,3,229.0
BHS,3,59.0
BHR,3,234.0
BGD,3,1756.0
BRB,3,43.0
BLR,3,317.0
BEL,3,3401.0
BLZ,3,7.0
BEN,3,166.0
BTN,3,8.0
BOL,3,282.0
BIH,3,108.0
BWA,3,41.0
BRA,3,5686.0
BRN,3,97.0
BGR,3,862.0
BFA,3,259.0
BDI,3,257.0
CPV,3,15.0
KHM,3,312.0
CMR,3,718.0
CAN,3,9991.0
CAF,3,64.0
TCD,3,264.0
CHL,3,574.0
CHN,3,28168.0
COL,3,1619.0
COM,3,12.0
COD,3,1193.0
COG,3,208.0
CRI,3,189.0
CIV,3,423.0
HRV,3,644.0
CUB,3,475.0
CYP,3,262.0
CZE,3,2218.0
DNK,3,1067.0
DJI,3,21.0
DOM,3,271.0
ECU,3,807.0
EGY,3,4321.0
SLV,3,185.0
GNQ,3,31.0
ERI,3,70.0
EST,3,299.0
SWZ,3,14.0
ETH,3,2664.0
FJI,3,27.0
FIN,3,1216.0
FRA,3,14444.0
GUF,3,10.0
PYF,3,45.0
GAB,3,40.0
GEO,3,485.0
DEU,3,14970.0
GHA,3,601.0
GRC,3,2210.0
GUM,3,16.0
GTM,3,442.0
GIN,3,146.0
GNB,3,20.0
GUY,3,16.0
HTI,3,243.0
HND,3,356.0
HUN,3,2109.0
ISL,3,65.0
IND,3,18373.0
IDN,3,8601.0
IRN,3,2525.0
IRQ,3,1413.0
IRL,3,1035.0
ISR,3,2475.0
ITA,3,10696.0
JAM,3,108.0
JPN,3,20019.0
JOR,3,460.0
KAZ,3,1558.0
KEN,3,1685.0
PRK,3,419.0
KOR,3,5522.0
KWT,3,797.0
KGZ,3,99.0
LAO,3,172.0
LVA,3,366.0
LBN,3,310.0
LSO,3,19.0
LBR,3,77.0
LBY,3,231.0
LTU,3,592.0
LUX,3,125.0
MDG,3,655.0
MWI,3,445.0
MYS,3,4997.0
MDV,3,13.0
MLI,3,220.0
MLT,3,91.0
MRT,3,43.0
MUS,3,139.0
MEX,3,4166.0
MNG,3,28.0
MNE,3,127.0
MAR,3,845.0
MOZ,3,660.0
MMR,3,893.0
NAM,3,72.0
NPL,3,319.0
NZL,3,1222.0
NIC,3,159.0
NER,3,280.0
NGA,3,6051.0
MKD,3,61.0
NOR,3,1080.0
OMN,3,665.0
PAK,3,5026.0
PAN,3,148.0
PNG,3,201.0
PRY,3,212.0
PER,3,1544.0
PHL,3,3184.0
POL,3,6681.0
PRT,3,2192.0
QAT,3,402.0
MDA,3,92.0
ROU,3,2775.0
RUS,3,4923.0
RWA,3,230.0
LCA,3,6.0
WSM,3,6.0
STP,3,1.0
SAU,3,998.0
SEN,3,213.0
SRB,3,467.0
SLE,3,81.0
SGP,3,1345.0
SVK,3,1076.0
SVN,3,519.0
SLB,3,9.0
SOM,3,346.0
ZAF,3,1276.0
SSD,3,158.0
ESP,3,10244.0
LKA,3,417.0
SDN,3,1283.0
SUR,3,21.0
SWE,3,1792.0
CHE,3,1942.0
SYR,3,596.0
TJK,3,124.0
TZA,3,966.0
THA,3,1582.0
NLD,3,4107.0
GMB,3,13.0
TLS,3,22.0
TGO,3,152.0
TTO,3,55.0
TUN,3,284.0
TUR,3,13685.0
TKM,3,80.0
UGA,3,989.0
UKR,3,1411.0
ARE,3,1184.0
GBR,3,15065.0
URY,3,164.0
UZB,3,545.0
VUT,3,6.0
VEN,3,761.0
VNM,3,2146.0
YEM,3,618.0
ZMB,3,282.0
ZWE,3,368.0
USA,4,85713.0
AFG,4,651.0
ALB,4,71.0
DZA,4,1068.0
AGO,4,278.0
ARG,4,1593.0
ARM,4,73.0
AUS,4,6688.0
AUT,4,1699.0
AZE,4,252.0
BHS,4,53.0
BHR,4,251.0
BGD,4,1870.0
BRB,4,53.0
BLR,4,370.0
BEL,4,3827.0
BLZ,4,7.0
BEN,4,184.0
BTN,4,8.0
BOL,4,245.0
BIH,4,109.0
BWA,4,37.0
BRA,4,5302.0
BRN,4,96.0
BGR,4,931.0
BFA,4,221.0
BDI,4,184.0
CPV,4,14.0
KHM,4,421.0
CMR,4,540.0
CAN,4,8523.0
CAF,4,92.0
TCD,4,307.0
CHL,4,515.0
CHN,4,34579.0
COL,4,2166.0
COM,4,13.0
COD,4,1327.0
COG,4,213.0
CRI,4,172.0
CIV,4,520.0
HRV,4,796.0
CUB,4,338.0
CYP,4,252.0
CZE,4,2105.0
DNK,4,1468.0
DJI,4,23.0
DOM,4,314.0
ECU,4,773.0
EGY,4,3752.0
SLV,4,171.0
GNQ,4,19.0
ERI,4,83.0
EST,4,250.0
SWZ,4,14.0
ETH,4,3038.0
FJI,4,22.0
FIN,4,1270.0
FRA,4,17094.0
GUF,4,11.0
PYF,4,37.0
GAB,4,37.0
GEO,4,504.0
DEU,4,18961.0
GHA,4,666.0
GRC,4,2313.0
GUM,4,14.0
GTM,4,336.0
GIN,4,192.0
GNB,4,22.0
GUY,4,15.0
HTI,4,208.0
HND,4,355.0
HUN,4,2105.0
ISL,4,69.0
IND,4,22123.0
IDN,4,6577.0
IRN,4,2542.0
IRQ,4,1502.0
IRL,4,992.0
ISR,4,2419.0
ITA,4,16018.0
JAM,4,95.0
JPN,4,21264.0
JOR,4,501.0
KAZ,4,1504.0
KEN,4,1426.0
PRK,4,430.0
KOR,4,6790.0
KWT,4,703.0
KGZ,4,97.0
LAO,4,179.0
LVA,4,338.0
LBN,4,297.0
LSO,4,15.0
LBR,4,72.0
LBY,4,235.0
LTU,4,569.0
LUX,4,124.0
MDG,4,679.0
MWI,4,397.0
MYS,4,4727.0
MDV,4,18.0
MLI,4,223.0
MLT,4,98.0
MRT,4,61.0
MUS,4,149.0
MEX,4,4323.0
MNG,4,23.0
MNE,4,148.0
MAR,4,1098.0
MOZ,4,624.0
MMR,4,988.0
NAM,4,63.0
NPL,4,365.0
NZL,4,1088.0
NIC,4,188.0
NER,4,242.0
NGA,4,5719.0
MKD,4,63.0
NOR,4,1248.0
OMN,4,761.0
PAK,4,5567.0
PAN,4,86.0
PNG,4,250.0
PRY,4,254.0
PER,4,1197.0
PHL,4,4056.0
POL,4,4872.0
PRT,4,2215.0
QAT,4,356.0
MDA,4,110.0
ROU,4,2591.0
RUS,4,4866.0
RWA,4,255.0
LCA,4,5.0
WSM,4,7.0
STP,4,1.0
SAU,4,1215.0
SEN,4,151.0
SRB,4,303.0
SLE,4,85.0
SGP,4,1401.0
SVK,4,1019.0
SVN,4,468.0
SLB,4,11.0
SOM,4,313.0
ZAF,4,2145.0
SSD,4,146.0
ESP,4,9657.0
LKA,4,449.0
SDN,4,1156.0
SUR,4,16.0
SWE,4,1933.0
CHE,4,1842.0
SYR,4,816.0
TJK,4,83.0
TZA,4,886.0
THA,4,1809.0
NLD,4,4020.0
GMB,4,18.0
TLS,4,24.0
TGO,4,137.0
TTO,4,56.0
TUN,4,369.0
TUR,4,13463.0
TKM,4,80.0
UGA,4,1031.0
UKR,4,1191.0
ARE,4,1232.0
GBR,4,17196.0
URY,4,184.0
UZB,4,509.0
VUT,4,5.0
VEN,4,797.0
VNM,4,2038.0
YEM,4,730.0
ZMB,4,261.0
ZWE,4,377.0
USA,5,83257.0
AFG,5,545.0
ALB,5,54.0
DZA,5,1205.0
AGO,5,541.0
ARG,5,1571.0
ARM,5,72.0
AUS,5,7521.0
AUT,5,1545.0
AZE,5,248.0
BHS,5,48.0
BHR,5,195.0
BGD,5,1626.0
BRB,5,47.0
BLR,5,372.0
BEL,5,2946.0
BLZ,5,7.0
BEN,5,194.0
BTN,5,7.0
BOL,5,174.0
BIH,5,118.0
BWA,5,36.0
BRA,5,6822.0
BRN,5,87.0
BGR,5,811.0
BFA,5,265.0
BDI,5,245.0
CPV,5,19.0
KHM,5,359.0
CMR,5,443.0
CAN,5,9133.0
CAF,5,72.0
TCD,5,327.0
CHL,5,695.0
CHN,5,35058.0
COL,5,1886.0
COM,5,12.0
COD,5,1416.0
COG,5,234.0
CRI,5,237.0
CIV,5,493.0
HRV,5,622.0
CUB,5,372.0
CYP,5,247.0
CZE,5,2124.0
DNK,5,1456.0
DJI,5,28.0
DOM,5,301.0
ECU,5,608.0
EGY,5,4945.0
SLV,5,166.0
GNQ,5,27.0
ERI,5,90.0
EST,5,225.0
SWZ,5,15.0
ETH,5,3533.0
FJI,5,23.0
FIN,5,1153.0
FRA,5,15179.0
GUF,5,10.0
PYF,5,40.0
GAB,5,38.0
GEO,5,567.0
DEU,5,18370.0
GHA,5,527.0
GRC,5,2028.0
GUM,5,17.0
GTM,5,406.0
GIN,5,160.0
GNB,5,20.0
GUY,5,19.0
HTI,5,276.0
HND,5,341.0
HUN,5,1986.0
ISL,5,72.0
IND,5,25136.0
IDN,5,8979.0
IRN,5,2699.0
IRQ,5,1463.0
IRL,5,1109.0
ISR,5,2329.0
ITA,5,11992.0
JAM,5,55.0
JPN,5,18648.0
JOR,5,355.0
KAZ,5,1494.0
KEN,5,1440.0
PRK,5,423.0
KOR,5,6639.0
KWT,5,741.0
KGZ,5,87.0
LAO,5,194.0
LVA,5,342.0
LBN,5,338.0
LSO,5,15.0
LBR,5,76.0
LBY,5,166.0
LTU,5,584.0
LUX,5,108.0
MDG,5,676.0
MWI,5,380.0
MYS,5,4470.0
MDV,5,10.0
MLI,5,211.0
MLT,5,91.0
MRT,5,63.0
MUS,5,132.0
MEX,5,3046.0
MNG,5,33.0
MNE,5,150.0
MAR,5,1031.0
MOZ,5,607.0
MMR,5,882.0
NAM,5,77.0
NPL,5,287.0
NZL,5,1215.0
NIC,5,209.0
NER,5,306.0
NGA,5,3768.0
MKD,5,57.0
NOR,5,1346.0
OMN,5,771.0
PAK,5,4745.0
PAN,5,133.0
PNG,5,263.0
PRY,5,206.0
PER,5,1559.0
PHL,5,3367.0
POL,5,6324.0
PRT,5,1867.0
QAT,5,390.0
MDA,5,108.0
ROU,5,2710.0
RUS,5,3609.0
RWA,5,209.0
LCA,5,6.0
WSM,5,6.0
STP,5,2.0
SAU,5,1213.0
SEN,5,204.0
SRB,5,387.0
SLE,5,90.0
SGP,5,1237.0
SVK,5,1179.0
SVN,5,569.0
SLB,5,11.0
SOM,5,342.0
ZAF,5,2310.0
SSD,5,145.0
ESP,5,7954.0
LKA,5,524.0
SDN,5,984.0
SUR,5,17.0
SWE,5,1935.0
CHE,5,1727.0
SYR,5,739.0
TJK,5,110.0
TZA,5,920.0
THA,5,1944.0
NLD,5,4031.0
GMB,5,19.0
TLS,5,23.0
TGO,5,145.0
TTO,5,51.0
TUN,5,265.0
TUR,5,13589.0
TKM,5,61.0
UGA,5,1296.0
UKR,5,1990.0
ARE,5,1337.0
GBR,5,17659.0
URY,5,138.0
UZB,5,495.0
VUT,5,5.0
VEN,5,812.0
VNM,5,2739.0
YEM,5,747.0
ZMB,5,254.0
ZWE,5,511.0
USA,6,71475.0
AFG,6,586.0
ALB,6,79.0
DZA,6,1166.0
AGO,6,425.0
ARG,6,1143.0
ARM,6,84.0
AUS,6,5863.0
AUT,6,1463.0
AZE,6,270.0
BHS,6,56.0
BHR,6,224.0
BGD,6,1591.0
BRB,6,39.0
BLR,6,354.0
BEL,6,3253.0
BLZ,6,7.0
BEN,6,180.0
BTN,6,7.0
BOL,6,230.0
BIH,6,94.0
BWA,6,36.0
BRA,6,6003.0
BRN,6,84.0
BGR,6,995.0
BFA,6,264.0
BDI,6,258.0
CPV,6,19.0
KHM,6,432.0
CMR,6,610.0
CAN,6,8344.0
CAF,6,70.0
TCD,6,315.0
CHL,6,485.0
CHN,6,34220.0
COL,6,1927.0
COM,6,14.0
COD,6,964.0
COG,6,233.0
CRI,6,188.0
CIV,6,490.0
HRV,6,781.0
CUB,6,354.0
CYP,6,254.0
CZE,6,2115.0
DNK,6,1445.0
DJI,6,20.0
DOM,6,296.0
ECU,6,700.0
EGY,6,4800.0
SLV,6,149.0
GNQ,6,21.0
ERI,6,100.0
EST,6,285.0
SWZ,6,17.0
ETH,6,2604.0
FJI,6,29.0
FIN,6,1190.0
FRA,6,18826.0
GUF,6,12.0
PYF,6,41.0
GAB,6,35.0
GEO,6,524.0
DEU,6,18166.0
GHA,6,563.0
GRC,6,2244.0
GUM,6,15.0
GTM,6,384.0
GIN,6,190.0
GNB,6,22.0
GUY,6,12.0
HTI,6,240.0
HND,6,343.0
HUN,6,1821.0
ISL,6,62.0
IND,6,23325.0
IDN,6,6878.0
IRN,6,2574.0
IRQ,6,1369.0
IRL,6,1177.0
ISR,6,2683.0
ITA,6,13110.0
JAM,6,85.0
JPN,6,24588.0
JOR,6,402.0
KAZ,6,1504.0
KEN,6,1661.0
PRK,6,517.0
KOR,6,7516.0
KWT,6,677.0
KGZ,6,94.0
LAO,6,185.0
LVA,6,369.0
LBN,6,330.0
LSO,6,16.0
LBR,6,73.0
LBY,6,196.0
LTU,6,607.0
LUX,6,131.0
MDG,6,653.0
MWI,6,374.0
MYS,6,4299.0
MDV,6,13.0
MLI,6,200.0
MLT,6,94.0
MRT,6,57.0
MUS,6,159.0
MEX,6,4058.0
MNG,6,29.0
MNE,6,141.0
MAR,6,1135.0
MOZ,6,579.0
MMR,6,926.0
NAM,6,65.0
NPL,6,325.0
NZL,6,1081.0
NIC,6,233.0
NER,6,315.0
NGA,6,3880.0
MKD,6,56.0
NOR,6,1387.0
OMN,6,823.0
PAK,6,4810.0
PAN,6,139.0
PNG,6,301.0
PRY,6,217.0
PER,6,1510.0
PHL,6,3141.0
POL,6,6019.0
PRT,6,2258.0
QAT,6,330.0
MDA,6,103.0
ROU,6,2602.0
RUS,6,4079.0
RWA,6,227.0
LCA,6,7.0
WSM,6,7.0
STP,6,1.0
SAU,6,1426.0
SEN,6,164.0
SRB,6,476.0
SLE,6,72.0
SGP,6,1425.0
SVK,6,1072.0
SVN,6,488.0
SLB,6,8.0
SOM,6,310.0
ZAF,6,1778.0
SSD,6,116.0
ESP,6,9653.0
LKA,6,352.0
SDN,6,1279.0
SUR,6,17.0
SWE,6,1772.0
CHE,6,1691.0
SYR,6,791.0
TJK,6,92.0
TZA,6,639.0
THA,6,2352.0
NLD,6,4155.0
GMB,6,20.0
TLS,6,19.0
TGO,6,176.0
TTO,6,36.0
TUN,6,349.0
TUR,6,15695.0
TKM,6,69.0
UGA,6,1126.0
UKR,6,1568.0
ARE,6,1079.0
GBR,6,17627.0
URY,6,165.0
UZB,6,594.0
VUT,6,5.0
VEN,6,686.0
VNM,6,2556.0
YEM,6,663.0
ZMB,6,202.0
ZWE,6,419.0
USA,7,84251.0
AFG,7,529.0
ALB,7,59.0
DZA,7,1081.0
AGO,7,551.0
ARG,7,1543.0
ARM,7,56.0
AUS,7,8161.0
AUT,7,1519.0
AZE,7,266.0
BHS,7,47.0
BHR,7,238.0
BGD,7,1912.0
BRB,7,42.0
BLR,7,334.0
BEL,7,3244.0
BLZ,7,7.0
BEN,7,125.0
BTN,7,8.0
BOL,7,219.0
BIH,7,99.0
BWA,7,38.0
BRA,7,5717.0
BRN,7,94.0
BGR,7,982.0
BFA,7,306.0
BDI,7,254.0
CPV,7,19.0
KHM,7,364.0
CMR,7,485.0
CAN,7,9185.0
CAF,7,59.0
TCD,7,283.0
CHL,7,683.0
CHN,7,25837.0
COL,7,1794.0
COM,7,12.0
COD,7,848.0
COG,7,223.0
CRI,7,211.0
CIV,7,385.0
HRV,7,685.0
CUB,7,407.0
CYP,7,276.0
CZE,7,1840.0
DNK,7,1518.0
DJI,7,22.0
DOM,7,292.0
ECU,7,623.0
EGY,7,4415.0
SLV,7,193.0
GNQ,7,29.0
ERI,7,93.0
EST,7,283.0
SWZ,7,13.0
ETH,7,3007.0
FJI,7,26.0
FIN,7,1130.0
FRA,7,14883.0
GUF,7,10.0
PYF,7,39.0
GAB,7,39.0
GEO,7,505.0
DEU,7,20061.0
GHA,7,621.0
GRC,7,1965.0
GUM,7,16.0
GTM,7,369.0
GIN,7,140.0
GNB,7,21.0
GUY,7,22.0
HTI,7,231.0
HND,7,331.0
HUN,7,2188.0
ISL,7,64.0
IND,7,16649.0
IDN,7,6858.0
IRN,7,2187.0
IRQ,7,1851.0
IRL,7,1070.0
ISR,7,2463.0
ITA,7,14616.0
JAM,7,91.0
JPN,7,26759.0
JOR,7,421.0
KAZ,7,1392.0
KEN,7,1364.0
PRK,7,469.0
KOR,7,6457.0
KWT,7,734.0
KGZ,7,101.0
LAO,7,150.0
LVA,7,415.0
LBN,7,304.0
LSO,7,15.0
LBR,7,99.0
LBY,7,191.0
LTU,7,583.0
LUX,7,107.0
MDG,7,691.0
MWI,7,375.0
MYS,7,3992.0
MDV,7,16.0
