ISO,quality,scenario,xi_qp
SLV,2.0,1,0
SLV,3.0,1,1
GTM,1.0,1,0
GTM,2.0,1,1
GTM,3.0,1,1
HND,1.0,1,1
HND,2.0,1,1
HND,3.0,1,1
MEX,1.0,1,1
MEX,2.0,1,1
MEX,3.0,1,1
NIC,1.0,1,1
NIC,2.0,1,1
NIC,3.0,1,1
PAN,1.0,1,0
PAN,2.0,1,1
PAN,3.0,1,1
AUS,1.0,1,1
AUS,2.0,1,1
AUS,3.0,1,1
NZL,1.0,1,1
NZL,2.0,1,1
NZL,3.0,1,1
PNG,1.0,1,1
PNG,2.0,1,1
PNG,3.0,1,1
ARG,1.0,1,1
ARG,2.0,1,1
ARG,3.0,1,1
BOL,1.0,1,1
BOL,2.0,1,1
BOL,3.0,1,1
BRA,1.0,1,1
BRA,2.0,1,1
BRA,3.0,1,1
CHL,1.0,1,1
CHL,2.0,1,1
CHL,3.0,1,1
COL,1.0,1,1
COL,2.0,1,1
COL,3.0,1,1
ECU,1.0,1,1
ECU,2.0,1,0
ECU,3.0,1,1
PRY,1.0,1,1
PRY,2.0,1,1
PRY,3.0,1,1
PER,1.0,1,1
PER,2.0,1,1
PER,3.0,1,1
URY,1.0,1,1
URY,2.0,1,1
URY,3.0,1,1
DZA,1.0,2,1
DZA,2.0,2,1
DZA,3.0,2,1
AGO,1.0,2,1
AGO,2.0,2,1
AGO,3.0,2,1
EGY,1.0,2,1
EGY,2.0,2,1
EGY,3.0,2,1
GHA,1.0,2,1
GHA,2.0,2,1
GHA,3.0,2,1
KEN,1.0,2,1
KEN,2.0,2,1
KEN,3.0,2,1
MDG,1.0,2,1
MDG,2.0,2,1
MDG,3.0,2,1
MRT,1.0,2,1
MRT,2.0,2,1
MRT,3.0,2,1
MAR,1.0,2,1
MAR,2.0,2,1
MAR,3.0,2,1
NGA,1.0,2,1
NGA,2.0,2,1
NGA,3.0,2,1
ZAF,1.0,2,1
ZAF,2.0,2,1
ZAF,3.0,2,1
SDN,1.0,2,1
SDN,2.0,2,1
SDN,3.0,2,1
TUN,1.0,2,1
TUN,2.0,2,1
TUN,3.0,2,1
ZWE,1.0,2,1
ZWE,2.0,2,1
ZWE,3.0,2,1
CHN,1.0,2,1
CHN,2.0,2,1
CHN,3.0,2,1
IND,1.0,2,1
IND,2.0,2,1
IND,3.0,2,1
IDN,1.0,2,1
IDN,2.0,2,1
IDN,3.0,2,1
JPN,1.0,2,1
JPN,2.0,2,1
JPN,3.0,2,1
KOR,1.0,2,1
KOR,2.0,2,1
KOR,3.0,2,1
MYS,1.0,2,1
MYS,2.0,2,1
MYS,3.0,2,1
MMR,1.0,2,1
MMR,2.0,2,1
MMR,3.0,2,1
PAK,1.0,2,1
PAK,2.0,2,1
PAK,3.0,2,1
PHL,1.0,2,1
PHL,2.0,2,1
PHL,3.0,2,1
LKA,1.0,2,1
LKA,2.0,2,1
LKA,3.0,2,1
THA,1.0,2,1
THA,2.0,2,1
THA,3.0,2,1
VNM,1.0,2,1
VNM,2.0,2,0
VNM,3.0,2,1
AUT,1.0,2,1
AUT,2.0,2,1
AUT,3.0,2,1
BEL,1.0,2,1
BEL,2.0,2,1
BEL,3.0,2,1
FRA,1.0,2,0
FRA,2.0,2,1
FRA,3.0,2,1
DEU,1.0,2,1
DEU,2.0,2,1
DEU,3.0,2,1
GRC,1.0,2,1
GRC,2.0,2,1
GRC,3.0,2,1
IRL,1.0,2,1
IRL,2.0,2,1
IRL,3.0,2,1
ITA,1.0,2,1
ITA,2.0,2,1
ITA,3.0,2,1
PRT,1.0,2,1
PRT,2.0,2,1
PRT,3.0,2,1
RUS,1.0,2,0
RUS,2.0,2,1
RUS,3.0,2,1
ESP,1.0,2,1
ESP,2.0,2,1
ESP,3.0,2,1
CHE,1.0,2,1
CHE,2.0,2,1
CHE,3.0,2,1
NLD,1.0,2,1
NLD,2.0,2,1
NLD,3.0,2,1
GBR,1.0,2,1
GBR,2.0,2,1
GBR,3.0,2,1
USA,1.0,2,1
USA,2.0,2,1
USA,3.0,2,1
CAN,1.0,2,1
CAN,2.0,2,1
CAN,3.0,2,1
CRI,1.0,2,1
CRI,2.0,2,1
CRI,3.0,2,1
DOM,1.0,2,1
DOM,2.0,2,1
DOM,3.0,2,1
SLV,1.0,2,1
SLV,2.0,2,1
SLV,3.0,2,1
GTM,1.0,2,1
GTM,2.0,2,1
GTM,3.0,2,1
HND,1.0,2,1
HND,2.0,2,1
HND,3.0,2,1
MEX,1.0,2,1
MEX,2.0,2,1
MEX,3.0,2,1
NIC,1.0,2,1
NIC,2.0,2,1
NIC,3.0,2,1
PAN,1.0,2,1
PAN,2.0,2,1
PAN,3.0,2,1
AUS,1.0,2,1
AUS,2.0,2,1
AUS,3.0,2,1
NZL,1.0,2,1
NZL,2.0,2,1
NZL,3.0,2,1
PNG,1.0,2,1
PNG,2.0,2,1
PNG,3.0,2,1
ARG,1.0,2,1
ARG,2.0,2,1
ARG,3.0,2,1
BOL,1.0,2,1
BOL,2.0,2,1
BOL,3.0,2,1
BRA,1.0,2,0
BRA,2.0,2,1
BRA,3.0,2,1
CHL,1.0,2,1
CHL,2.0,2,1
CHL,3.0,2,1
COL,1.0,2,1
COL,2.0,2,1
COL,3.0,2,1
ECU,1.0,2,1
ECU,2.0,2,1
ECU,3.0,2,1
PRY,1.0,2,1
PRY,2.0,2,1
PRY,3.0,2,1
PER,1.0,2,1
PER,2.0,2,1
PER,3.0,2,1
URY,1.0,2,1
URY,2.0,2,1
URY,3.0,2,1
DZA,1.0,3,1
DZA,2.0,3,1
DZA,3.0,3,1
AGO,1.0,3,1
AGO,2.0,3,1
AGO,3.0,3,1
EGY,1.0,3,1
EGY,2.0,3,1
EGY,3.0,3,1
GHA,1.0,3,1
GHA,2.0,3,1
GHA,3.0,3,1
KEN,1.0,3,1
KEN,2.0,3,1
KEN,3.0,3,1
MDG,1.0,3,1
MDG,2.0,3,1
MDG,3.0,3,1
MRT,1.0,3,1
MRT,2.0,3,1
MRT,3.0,3,1
MAR,1.0,3,1
MAR,2.0,3,1
MAR,3.0,3,1
NGA,1.0,3,1
NGA,2.0,3,1
NGA,3.0,3,1
ZAF,1.0,3,1
ZAF,2.0,3,1
ZAF,3.0,3,1
SDN,1.0,3,1
SDN,2.0,3,1
SDN,3.0,3,1
TUN,1.0,3,1
TUN,2.0,3,1
TUN,3.0,3,1
ZWE,1.0,3,1
ZWE,2.0,3,1
ZWE,3.0,3,1
CHN,1.0,3,1
CHN,2.0,3,1
CHN,3.0,3,1
IND,1.0,3,1
IND,2.0,3,1
IND,3.0,3,1
IDN,1.0,3,1
IDN,2.0,3,1
IDN,3.0,3,1
JPN,1.0,3,1
JPN,2.0,3,1
JPN,3.0,3,1
KOR,1.0,3,1
KOR,2.0,3,1
KOR,3.0,3,1
MYS,1.0,3,1
MYS,2.0,3,1
MYS,3.0,3,1
MMR,1.0,3,1
MMR,2.0,3,1
MMR,3.0,3,1
PAK,1.0,3,1
PAK,2.0,3,1
PAK,3.0,3,1
PHL,1.0,3,1
PHL,2.0,3,1
PHL,3.0,3,1
LKA,1.0,3,0
LKA,2.0,3,1
LKA,3.0,3,1
THA,1.0,3,1
THA,2.0,3,1
THA,3.0,3,1
VNM,1.0,3,1
VNM,2.0,3,1
VNM,3.0,3,1
AUT,1.0,3,1
AUT,2.0,3,1
AUT,3.0,3,1
BEL,1.0,3,1
BEL,2.0,3,1
BEL,3.0,3,1
FRA,1.0,3,1
FRA,2.0,3,1
FRA,3.0,3,1
DEU,1.0,3,1
DEU,2.0,3,1
DEU,3.0,3,1
GRC,1.0,3,1
GRC,2.0,3,1
GRC,3.0,3,1
IRL,1.0,3,1
IRL,2.0,3,1
IRL,3.0,3,1
ITA,1.0,3,1
ITA,2.0,3,1
ITA,3.0,3,1
PRT,1.0,3,1
PRT,2.0,3,1
PRT,3.0,3,1
RUS,1.0,3,1
RUS,2.0,3,1
RUS,3.0,3,1
ESP,1.0,3,1
ESP,2.0,3,1
ESP,3.0,3,1
CHE,1.0,3,1
CHE,2.0,3,1
CHE,3.0,3,1
NLD,1.0,3,1
NLD,2.0,3,1
NLD,3.0,3,1
GBR,1.0,3,1
GBR,2.0,3,1
GBR,3.0,3,1
USA,1.0,3,1
USA,2.0,3,1
USA,3.0,3,1
CAN,1.0,3,1
CAN,2.0,3,1
CAN,3.0,3,1
CRI,1.0,3,1
CRI,2.0,3,1
CRI,3.0,3,1
DOM,1.0,3,1
DOM,2.0,3,1
DOM,3.0,3,1
SLV,1.0,3,1
SLV,2.0,3,1
SLV,3.0,3,1
GTM,1.0,3,1
GTM,2.0,3,1
GTM,3.0,3,1
HND,1.0,3,1
HND,2.0,3,1
HND,3.0,3,1
MEX,1.0,3,1
MEX,2.0,3,1
MEX,3.0,3,1
NIC,1.0,3,1
NIC,2.0,3,1
NIC,3.0,3,1
PAN,1.0,3,1
PAN,2.0,3,1
PAN,3.0,3,1
AUS,1.0,3,1
AUS,2.0,3,1
AUS,3.0,3,1
NZL,1.0,3,1
NZL,2.0,3,1
NZL,3.0,3,1
PNG,1.0,3,1
PNG,2.0,3,1
PNG,3.0,3,1
ARG,1.0,3,1
ARG,2.0,3,1
ARG,3.0,3,1
BOL,1.0,3,1
BOL,2.0,3,1
BOL,3.0,3,1
BRA,1.0,3,1
BRA,2.0,3,1
BRA,3.0,3,1
CHL,1.0,3,1
CHL,2.0,3,1
CHL,3.0,3,1
COL,1.0,3,1
COL,2.0,3,1
COL,3.0,3,0
ECU,1.0,3,1
ECU,2.0,3,1
ECU,3.0,3,1
PRY,1.0,3,1
PRY,2.0,3,1
PRY,3.0,3,1
PER,1.0,3,1
PER,2.0,3,1
PER,3.0,3,1
URY,1.0,3,1
URY,2.0,3,1
URY,3.0,3,1
DZA,1.0,4,1
DZA,2.0,4,1
DZA,3.0,4,1
AGO,1.0,4,1
AGO,2.0,4,1
AGO,3.0,4,1
EGY,1.0,4,1
EGY,2.0,4,1
EGY,3.0,4,1
GHA,1.0,4,1
GHA,2.0,4,1
GHA,3.0,4,1
KEN,1.0,4,1
KEN,2.0,4,1
KEN,3.0,4,1
MDG,1.0,4,1
MDG,2.0,4,1
MDG,3.0,4,1
MRT,1.0,4,1
MRT,2.0,4,1
MRT,3.0,4,1
MAR,1.0,4,0
MAR,2.0,4,1
MAR,3.0,4,1
NGA,1.0,4,1
NGA,2.0,4,1
NGA,3.0,4,1
ZAF,1.0,4,1
ZAF,2.0,4,1
ZAF,3.0,4,1
SDN,1.0,4,1
SDN,2.0,4,1
SDN,3.0,4,1
TUN,1.0,4,1
TUN,2.0,4,1
TUN,3.0,4,1
ZWE,1.0,4,1
ZWE,2.0,4,1
ZWE,3.0,4,1
CHN,1.0,4,1
CHN,2.0,4,1
CHN,3.0,4,1
IND,1.0,4,0
IND,2.0,4,1
IND,3.0,4,1
IDN,1.0,4,1
IDN,2.0,4,0
IDN,3.0,4,1
JPN,1.0,4,1
JPN,2.0,4,1
JPN,3.0,4,1
KOR,1.0,4,1
KOR,2.0,4,1
KOR,3.0,4,1
MYS,1.0,4,1
MYS,2.0,4,1
MYS,3.0,4,1
MMR,1.0,4,1
MMR,2.0,4,1
MMR,3.0,4,1
PAK,1.0,4,1
PAK,2.0,4,1
PAK,3.0,4,1
PHL,1.0,4,1
PHL,2.0,4,1
PHL,3.0,4,1
LKA,1.0,4,1
LKA,2.0,4,1
LKA,3.0,4,1
THA,1.0,4,1
THA,2.0,4,0
THA,3.0,4,1
VNM,1.0,4,1
VNM,2.0,4,1
VNM,3.0,4,1
AUT,1.0,4,1
AUT,2.0,4,1
AUT,3.0,4,1
BEL,1.0,4,1
BEL,2.0,4,1
BEL,3.0,4,1
FRA,1.0,4,1
FRA,2.0,4,1
FRA,3.0,4,1
DEU,1.0,4,1
DEU,2.0,4,1
DEU,3.0,4,1
GRC,1.0,4,1
GRC,2.0,4,1
GRC,3.0,4,1
IRL,1.0,4,1
IRL,2.0,4,1
IRL,3.0,4,1
ITA,1.0,4,1
ITA,2.0,4,1
ITA,3.0,4,1
PRT,1.0,4,1
PRT,2.0,4,1
PRT,3.0,4,1
RUS,1.0,4,1
RUS,2.0,4,1
RUS,3.0,4,1
ESP,1.0,4,1
ESP,2.0,4,1
ESP,3.0,4,1
CHE,1.0,4,1
CHE,2.0,4,1
CHE,3.0,4,1
NLD,1.0,4,1
NLD,2.0,4,1
NLD,3.0,4,1
GBR,1.0,4,1
GBR,2.0,4,1
GBR,3.0,4,1
USA,1.0,4,1
USA,2.0,4,1
USA,3.0,4,1
CAN,1.0,4,1
CAN,2.0,4,1
CAN,3.0,4,1
CRI,1.0,4,1
CRI,2.0,4,1
CRI,3.0,4,1
DOM,1.0,4,1
DOM,2.0,4,1
DOM,3.0,4,1
SLV,1.0,4,1
SLV,2.0,4,1
SLV,3.0,4,1
GTM,1.0,4,1
GTM,2.0,4,1
GTM,3.0,4,1
HND,1.0,4,1
HND,2.0,4,1
HND,3.0,4,1
MEX,1.0,4,1
MEX,2.0,4,1
MEX,3.0,4,1
NIC,1.0,4,1
NIC,2.0,4,1
NIC,3.0,4,1
PAN,1.0,4,1
PAN,2.0,4,1
PAN,3.0,4,1
AUS,1.0,4,1
AUS,2.0,4,1
AUS,3.0,4,1
NZL,1.0,4,1
NZL,2.0,4,1
NZL,3.0,4,1
PNG,1.0,4,1
PNG,2.0,4,1
PNG,3.0,4,1
ARG,1.0,4,1
ARG,2.0,4,1
ARG,3.0,4,1
BOL,1.0,4,1
BOL,2.0,4,1
BOL,3.0,4,1
BRA,1.0,4,1
BRA,2.0,4,1
BRA,3.0,4,1
CHL,1.0,4,1
CHL,2.0,4,1
CHL,3.0,4,1
COL,1.0,4,1
COL,2.0,4,1
COL,3.0,4,1
ECU,1.0,4,1
ECU,2.0,4,1
ECU,3.0,4,1
PRY,1.0,4,1
PRY,2.0,4,1
PRY,3.0,4,1
PER,1.0,4,1
PER,2.0,4,1
PER,3.0,4,1
URY,1.0,4,1
URY,2.0,4,1
URY,3.0,4,1
DZA,1.0,5,1
DZA,2.0,5,1
DZA,3.0,5,1
AGO,1.0,5,1
AGO,2.0,5,1
AGO,3.0,5,1
EGY,1.0,5,1
EGY,2.0,5,1
EGY,3.0,5,1
GHA,1.0,5,1
GHA,2.0,5,1
GHA,3.0,5,1
KEN,1.0,5,1
KEN,2.0,5,1
KEN,3.0,5,1
MDG,1.0,5,1
MDG,2.0,5,1
MDG,3.0,5,1
MRT,1.0,5,1
MRT,2.0,5,1
MRT,3.0,5,1
MAR,1.0,5,1
MAR,2.0,5,1
MAR,3.0,5,1
NGA,1.0,5,1
NGA,2.0,5,1
NGA,3.0,5,1
ZAF,1.0,5,1
ZAF,2.0,5,1
ZAF,3.0,5,1
SDN,1.0,5,1
SDN,2.0,5,1
SDN,3.0,5,1
TUN,1.0,5,1
TUN,2.0,5,1
TUN,3.0,5,1
ZWE,1.0,5,1
ZWE,2.0,5,1
ZWE,3.0,5,1
CHN,1.0,5,1
CHN,2.0,5,1
CHN,3.0,5,1
IND,1.0,5,1
IND,2.0,5,1
IND,3.0,5,1
IDN,1.0,5,1
IDN,2.0,5,1
IDN,3.0,5,1
JPN,1.0,5,1
JPN,2.0,5,1
JPN,3.0,5,1
KOR,1.0,5,1
KOR,2.0,5,1
KOR,3.0,5,1
MYS,1.0,5,1
MYS,2.0,5,1
MYS,3.0,5,1
MMR,1.0,5,1
MMR,2.0,5,1
MMR,3.0,5,1
PAK,1.0,5,0
PAK,2.0,5,1
PAK,3.0,5,1
PHL,1.0,5,1
PHL,2.0,5,1
PHL,3.0,5,1
LKA,1.0,5,1
LKA,2.0,5,1
LKA,3.0,5,1
THA,1.0,5,1
THA,2.0,5,1
THA,3.0,5,1
VNM,1.0,5,1
VNM,2.0,5,1
VNM,3.0,5,1
AUT,1.0,5,1
AUT,2.0,5,1
AUT,3.0,5,1
BEL,1.0,5,1
BEL,2.0,5,1
BEL,3.0,5,1
FRA,1.0,5,1
FRA,2.0,5,1
FRA,3.0,5,1
DEU,1.0,5,1
DEU,2.0,5,1
DEU,3.0,5,1
GRC,1.0,5,1
GRC,2.0,5,1
GRC,3.0,5,1
IRL,1.0,5,1
IRL,2.0,5,1
IRL,3.0,5,1
ITA,1.0,5,1
ITA,2.0,5,1
ITA,3.0,5,1
PRT,1.0,5,1
PRT,2.0,5,1
PRT,3.0,5,1
RUS,1.0,5,1
RUS,2.0,5,1
RUS,3.0,5,1
ESP,1.0,5,1
ESP,2.0,5,1
ESP,3.0,5,1
CHE,1.0,5,1
CHE,2.0,5,1
CHE,3.0,5,1
NLD,1.0,5,0
NLD,2.0,5,1
NLD,3.0,5,1
GBR,1.0,5,1
GBR,2.0,5,1
GBR,3.0,5,1
USA,1.0,5,1
USA,2.0,5,1
USA,3.0,5,1
CAN,1.0,5,1
CAN,2.0,5,1
CAN,3.0,5,1
CRI,1.0,5,1
CRI,2.0,5,1
CRI,3.0,5,1
DOM,1.0,5,1
DOM,2.0,5,1
DOM,3.0,5,1
SLV,1.0,5,0
SLV,2.0,5,1
SLV,3.0,5,1
GTM,1.0,5,1
GTM,2.0,5,1
GTM,3.0,5,1
HND,1.0,5,1
HND,2.0,5,1
HND,3.0,5,1
MEX,1.0,5,1
MEX,2.0,5,1
MEX,3.0,5,1
NIC,1.0,5,1
NIC,2.0,5,1
NIC,3.0,5,1
PAN,1.0,5,1
PAN,2.0,5,1
PAN,3.0,5,1
AUS,1.0,5,0
AUS,2.0,5,1
AUS,3.0,5,1
NZL,1.0,5,1
NZL,2.0,5,1
NZL,3.0,5,1
PNG,1.0,5,1
PNG,2.0,5,1
PNG,3.0,5,1
ARG,1.0,5,1
ARG,2.0,5,1
ARG,3.0,5,1
BOL,1.0,5,0
BOL,2.0,5,1
BOL,3.0,5,1
BRA,1.0,5,1
BRA,2.0,5,1
BRA,3.0,5,1
CHL,1.0,5,1
CHL,2.0,5,1
CHL,3.0,5,1
COL,1.0,5,0
COL,2.0,5,1
COL,3.0,5,1
ECU,1.0,5,1
ECU,2.0,5,1
ECU,3.0,5,1
PRY,1.0,5,1
PRY,2.0,5,1
PRY,3.0,5,1
PER,1.0,5,1
PER,2.0,5,1
PER,3.0,5,1
URY,1.0,5,1
URY,2.0,5,1
URY,3.0,5,1
DZA,1.0,6,1
DZA,2.0,6,1
DZA,3.0,6,1
AGO,1.0,6,1
AGO,2.0,6,1
AGO,3.0,6,1
EGY,1.0,6,1
EGY,2.0,6,1
EGY,3.0,6,1
GHA,1.0,6,1
GHA,2.0,6,1
GHA,3.0,6,1
KEN,1.0,6,1
KEN,2.0,6,1
KEN,3.0,6,1
MDG,1.0,6,1
MDG,2.0,6,1
MDG,3.0,6,1
MRT,1.0,6,1
MRT,2.0,6,1
MRT,3.0,6,1
MAR,1.0,6,1
MAR,2.0,6,1
MAR,3.0,6,1
NGA,1.0,6,1
NGA,2.0,6,1
NGA,3.0,6,1
ZAF,1.0,6,1
ZAF,2.0,6,1
ZAF,3.0,6,1
SDN,1.0,6,1
SDN,2.0,6,1
SDN,3.0,6,1
TUN,1.0,6,1
TUN,2.0,6,1
TUN,3.0,6,1
ZWE,1.0,6,1
ZWE,2.0,6,1
ZWE,3.0,6,1
CHN,1.0,6,1
CHN,2.0,6,0
CHN,3.0,6,1
IND,1.0,6,1
IND,2.0,6,1
IND,3.0,6,1
IDN,1.0,6,1
IDN,2.0,6,1
IDN,3.0,6,1
JPN,1.0,6,1
JPN,2.0,6,1
JPN,3.0,6,1
KOR,1.0,6,1
KOR,2.0,6,1
KOR,3.0,6,1
MYS,1.0,6,1
MYS,2.0,6,1
MYS,3.0,6,1
MMR,1.0,6,1
MMR,2.0,6,1
MMR,3.0,6,1
PAK,1.0,6,1
PAK,2.0,6,1
PAK,3.0,6,1
PHL,1.0,6,1
PHL,2.0,6,1
PHL,3.0,6,1
LKA,1.0,6,1
LKA,2.0,6,1
LKA,3.0,6,1
THA,1.0,6,1
THA,2.0,6,1
THA,3.0,6,1
VNM,1.0,6,1
VNM,2.0,6,1
VNM,3.0,6,1
AUT,1.0,6,1
AUT,2.0,6,1
AUT,3.0,6,1
BEL,1.0,6,0
BEL,2.0,6,1
BEL,3.0,6,1
FRA,1.0,6,1
FRA,2.0,6,1
FRA,3.0,6,1
DEU,1.0,6,1
DEU,2.0,6,1
DEU,3.0,6,1
GRC,1.0,6,0
GRC,2.0,6,1
GRC,3.0,6,1
IRL,1.0,6,1
